Format:,,,Please Type,DD-MM-YY,"Auto, Do Not Change",Please Type,Select Option From Menu,Please Type,Please Type,xxxxx-xxxxxxx-x,Please Type,Please Type,Please Type,xxxx-xxxxxxx,xxxx-xxxxxxx,Please Type,Please Type,Select Option From Menu,Please Type,Please Type,DD-MM-YY,Please Type,Please Type,xxxxx-xxxxxxx-x,Please Type,Please Type,Select Option From Menu,Select Option From Menu,Please Type,Please Type,xxxx-xxxxxxx,xxxx-xxxxxxx,xxxx-xxxxxxx,xxxx-xxxxxxx,Please Type,DD-MM-YY,Please Type,Please Type,xxxxx-xxxxxxx-x,Please Type,Please Type,Select Option From Menu,Select Option From Menu,Please Type,Please Type,xxxx-xxxxxxx,xxxx-xxxxxxx,xxxx-xxxxxxx,xxxx-xxxxxxx,Select Option From Menu,Select Option From Menu,If Yes Than Type Other Wise Select No From Menu,If Yes Than Type Other Wise Select No From Menu,Please Type,Please Type,xxxx-xxxxxxx,xxxx-xxxxxxx,If Yes Than Type Other Wise Select No From Menu,If Yes Than Type Other Wise Select No From Menu,If Yes Than Type Other Wise Select No From Menu,If Yes Than Type Other Wise Select No From Menu
Issue Date,Valid Till,Form No,Child Name,Date of Birth,Age,Place of Birth,Gender,Nationality,Religion,Form B No / Birth Certificate No,Class Applied For,Present Address,Permanent Address,Home Phone 1,Home Phone 2,Previous School Attended,Class Last Attended,Session Completed,Reason for Leaving Last School,Father Name,Father Date of Birth,Father Nationality,Father Religion,Father CNIC,Father Email,Father Qualification,Father Job Type,Father Business Type,Father Organization,Father Office Address,Father Office Phone,Father Mobile 1,Father Mobile 2,Father WhatsApp,Mother Name,Mother Date of Birth,Mother Nationality,Mother Religion,Mother CNIC,Mother Email,Mother Qualification,Mother Job Type,Mother Business Type,Mother Organization,Mother Office Address,Mother Office Phone,Mother Mobile 1,Mother Mobile 2,Mother WhatsApp,Parents Marital Status,Child Blood Group,Child Medical Conditions,Child Disabilities,Emergency Contact Name,Emergency Contact Relation,Emergency Contact PTCL,Emergency Contact Cell,Other Children Studying Details,Siblings in School Details,Relatives in School Details,Relatives Worked in School Details
,,,usman,7-Aug-18,6,Karachi,Male,Pakistani,Islam,76543-2109876-5,2,gulistan e johar,gulistan e johar,0345-6789012,,,,,,TAHIR,1978,Pakistani,Islam,34567-8901234-5,,,,,,,0341-2345678,0341-2345678,,0341-2345678,TAHIRA,,Pakistani,Islam,09876-5432109-8,,,,,,,0389-0123456,0389-0123456,,0389-0123456,,,,,a,dada,,0312-3456789,,,,
,,,hasan,7-Aug-10,14,Lahore,Male,Pakistani,Islam,78901-2345678-9,9,gulistan e johar,gulistan e johar,0312-3456789,,,,,,asmat,1984,Pakistani,Islam,45678-9012345-6,,,,,,,0387-6543210,0387-6543210,,0387-6543210,saida,,Pakistani,Islam,10987-6543210-9,,,,,,,0334-5678901,0334-5678901,,0334-5678901,,,,,b,nana,,0345-6789012,,,,
,,,ahmed,7-Aug-18,6,Islamabad,Male,Pakistani,Islam,87654-3210987-6,2,gulistan e johar,gulistan e johar,0378-9012345,,,,,,faraz,1975,Pakistani,Islam,54321-0987654-3,,,,,,,0365-4321098,0365-4321098,,0365-4321098,aiman,,Pakistani,Islam,12345-6789012-3,,,,,,,0376-5432109,0376-5432109,,0376-5432109,,,,,c,chacha,,0387-6543210,,,,
,,,faizan,7-Aug-14,10,Karachi,Male,Pakistani,Islam,89012-3456789-0,7,gulistan e johar,gulistan e johar,0398-7654321,,,,,,fasih,1986,Pakistani,Islam,56789-0123456-7,,,,,,,0324-5678901,0324-5678901,,0324-5678901,fahima,,Pakistani,Islam,21098-7654321-0,,,,,,,0356-7890123,0356-7890123,,0356-7890123,,,,,d,mamu,,0365-4321098,,,,
,,,ayesha,7-Aug-13,11,Karachi,Female,Pakistani,Islam,90123-4567890-1,6,gulistan e johar,gulistan e johar,0321-0987654,,,,,,sakhawat,1968,Pakistani,Islam,65432-1098765-4,,,,,,,0391-8765432,0391-8765432,,0391-8765432,farzana,,Pakistani,Islam,23456-7890123-4,,,,,,,0392-1876543,0392-1876543,,0392-1876543,,,,,E,bhai,,0398-7654321,,,,
,,,amna,7-Sep-11,13,Hyderabad,Female,Pakistani,Islam,98765-4321098-7,8,gulistan e johar,gulistan e johar,0346-7890123,,,,,,maaz,1990,Pakistani,Islam,67890-1234567-8,,,,,,,0354-3210987,0354-3210987,,0354-3210987,sanaiya,,Pakistani,Islam,32109-8765432-1,,,,,,,0325-6789012,0325-6789012,,0325-6789012,,,,,f,behan,,0321-0987654,,,,
,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,, -   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
